7F,2354,YUX,148,YGT,5495,,0,AT4
7H,16726,ANC,3774,ENA,3628,,0,BE1 DH8
7H,16726,BET,3599,KUK,7094,Y,0,CNA
7H,16726,BRW,3571,ATK,6714,Y,0,CNC
7H,16726,HPB,6716,VAK,5968,Y,0,CNA
7H,16726,OME,3615,SVA,6724,Y,0,BE1
7I,18944,CUR,2897,LSP,2844,,0,F50
7J,9531,DME,4029,AKX,2920,,0,CR2
7R,1469,DME,4029,ESL,6125,,0,CR2
7H,16726,NUI,7092,SCC,3620,Y,0,BE1
7H,16726,ANC,3774,HOM,3664,,0,BE1 DH8
7M,16615,VSA,1853,VER,1854,,0,D28
7P,1500,PAC,1869,BOC,1865,,0,F50
7R,1469,LED,2948,MCX,2961,,0,CR2
7H,16726,KSM,6718,SXP,7200,Y,0,CNA
7I,18944,SXM,2899,SDQ,1762,,0,M83
7H,16726,ANI,5967,HCR,5962,Y,0,CNC
7F,2354,YZF,196,YEG,49,,0,73M 737
7H,16726,KTS,7183,WAA,7187,Y,0,PAG
7H,16726,BRW,3571,PIZ,3414,Y,0,CNC BE1
7H,16726,FAI,3832,FYU,3420,Y,0,BE1
7H,16726,HPB,6716,SCM,7209,Y,0,CNA
7H,16726,OME,3615,ELI,7184,Y,0,PAG
7J,9531,DYU,2979,LED,2948,,0,735
7H,16726,BKC,7178,DRG,6755,Y,0,CNC
7R,1469,VOZ,2987,LED,2948,,0,CR2
7H,16726,KKA,7190,UNK,7088,Y,0,CNC
7F,2354,YTE,140,YZS,41,,0,AT4
7H,16726,SVX,2975,NUX,4364,,0,CR2
7H,16726,ANI,5967,KLG,5964,Y,0,CNA CNC
7H,16726,NME,8199,OOK,8200,Y,0,CNA
7R,1469,DME,4029,IJK,6141,,0,CR2
7H,16726,KAL,6717,NUL,7111,Y,0,CNC
7H,16726,OTZ,3693,WTK,6725,Y,0,CNC
7H,16726,OME,3615,KTS,7183,Y,0,PAG
7F,2354,YUL,146,YVP,154,,0,73M
7H,16726,ANE,5967,ANI,5967,,0,CNA
7F,2354,YXP,170,YVM,152,,0,AT4
7H,16726,BRW,3571,NUI,7092,Y,0,BE1
7M,16615,MID,1819,VSA,1853,,0,D28
7H,16726,KSM,6718,MOU,5966,Y,0,CNA
7H,16726,WBB,7193,SMK,7191,Y,0,CNA
7F,2354,YZS,41,YCS,5487,,0,AT4
7H,16726,OTZ,3693,DRG,6755,Y,0,CNC
7H,16726,HPB,6716,SCM,7209,Y,0,CNA
7I,18944,CUR,2897,MIA,3576,,0,M83
7H,16726,ANC,3774,KSM,6718,,0,DH8
7J,9531,LBD,6147,OVB,4078,,0,733
7F,2354,YVP,154,YUL,146,,0,73M
7H,16726,ANV,6713,KGX,7219,Y,0,CNC
7H,16726,ANI,5967,CHU,7091,Y,0,CNA
7H,16726,BRW,3571,PIZ,3414,Y,0,CNC BE1
7H,16726,GAM,6715,OME,3615,Y,0,BE1
7H,16726,OME,3615,UNK,7088,Y,0,CNC
7H,16726,KTS,7183,TLA,7186,Y,0,PAG
7H,16726,EMK,7087,KOT,7207,Y,0,CNA
7H,16726,ANC,3774,VDZ,3865,,0,DH8 BE1
7H,16726,ANI,5967,RSH,7098,Y,0,CNA
7H,16726,ANC,3774,FAI,3832,,0,DH8 BE1
7H,16726,KKA,7190,SKK,7192,Y,0,PAG
7H,16726,OME,3615,TLA,7186,Y,0,PAG
7H,16726,SVA,6724,GAM,6715,Y,0,BE1
7H,16726,KSM,6718,SXP,7200,Y,0,CNA
7F,2354,YVP,154,YFB,55,,0,73M
7H,16726,OTZ,3693,IAN,7179,Y,0,CNC
7H,16726,BRW,3571,AIN,7220,Y,0,BE1 CNC
7H,16726,ANC,3774,CDV,3610,,0,BE1
7H,16726,ANI,5967,HCR,5962,Y,0,CNC
7H,16726,OME,3615,SHH,6723,Y,0,PAG CNT
7H,16726,GAL,3764,KAL,6717,Y,0,CNC
7H,16726,KOT,7207,KSM,6718,Y,0,CNA
7F,2354,YXN,5534,YEK,50,,0,AT4
7H,16726,OTZ,3693,PHO,6721,Y,0,CNC
7H,16726,ANI,5967,KLG,5964,Y,0,CNA CNC
7F,2354,YZF,196,YVQ,155,,0,73M
7H,16726,ANE,5967,ANI,5967,,0,CNA
7H,16726,HPB,6716,SCM,7209,Y,0,CNA
7H,16726,EMK,7087,AUK,7199,Y,0,CNA
7H,16726,BRW,3571,ATK,6714,Y,0,CNC
7H,16726,ANC,3774,KSM,6718,,0,DH8
7H,16726,OME,3615,GLV,7185,Y,0,PAG
7H,16726,OME,3615,SHH,6723,Y,0,PAG CNT
7H,16726,OME,3615,WBB,7193,Y,0,CNC
7H,16726,ANI,5967,RSH,7098,Y,0,CNA
7F,2354,YXP,170,YFB,55,,0,AT4
7H,16726,KSM,6718,KOT,7207,Y,0,CNA
7F,2354,YTE,140,YFB,55,,0,AT4
